NO,Frag,Conect,MolWt
523,[1*]C(=O)N(C)CC,1,86.061
524,[1*]C(=O)NC(C)C,1,86.061
525,[1*]C(=O)NCCC,1,86.061
526,[1*]C(=O)[C@H](C)NC,1,86.061
527,[13*]C1CNCCO1,1,86.061
528,[13*][C@@H]1CNCCO1,1,86.061
529,[13*][C@@H]1COCCN1,1,86.061
530,[13*][C@H]1CNCCO1,1,86.061
531,[3*]OCC1(N)CC1,1,86.061
532,[3*]OC[C@H]1CCN1,1,86.061
533,[4*]C(C)/C(C)=N/O,1,86.061
534,[4*]CC(=O)N(C)C,1,86.061
535,[4*]CC1(N)COC1,1,86.061
536,[4*]CCNC(C)=O,1,86.061
537,[5*]N(CC)C(C)=O,1,86.061
538,[5*]N1CCOCC1,1,86.061
539,[5*]N1CC[C@@H](O)C1,1,86.061
540,[5*]N1CC[C@H](O)C1,1,86.061
541,[5*]NC(=O)C(C)C,1,86.061
542,[5*]NC(=O)CCC,1,86.061
543,[5*]N[C@@H]1CCOC1,1,86.061
544,[6*]C(=O)C(C)NC,1,86.061
545,[6*]C(=O)N(C)CC,1,86.061
546,[6*]C(=O)NC(C)C,1,86.061
547,[6*]C(=O)NCCC,1,86.061
548,[8*]C(C)(C)C(N)=O,1,86.061
549,[8*]CC(=O)N(C)C,1,86.061
550,[8*]CCNC(C)=O,1,86.061
551,[8*]CNC(=O)CC,1,86.061
552,[8*][C@@H](CC)C(N)=O,1,86.061
553,[4*]CCN=C(N)N,1,86.072
554,[5*]N/C(=N/C)NC,1,86.072
555,[4*]C(C)CCCN,1,86.097
556,[4*]CC(C)N(C)C,1,86.097
557,[4*]CCCN(C)C,1,86.097
558,[4*]CCCNCC,1,86.097
559,[4*]CCNC(C)C,1,86.097
560,[4*]CCNCCC,1,86.097
561,[5*]N(CC)C(C)C,1,86.097
562,[5*]N(CC)CCC,1,86.097
563,[5*]NCC(C)(C)C,1,86.097
564,[5*]NCCC(C)C,1,86.097
565,[5*]NCCCCC,1,86.097
566,[7*]CCC(C)(C)N,1,86.097
567,[7*]CCCN(C)C,1,86.097
568,[7*]CC[C@H](C)NC,1,86.097
569,[8*]CC(C)(C)NC,1,86.097
570,[8*]CC(C)NCC,1,86.097
571,[8*]CCCN(C)C,1,86.097
572,[8*]CN(CC)CC,1,86.097
573,[8*]CNC(C)(C)C,1,86.097
574,[8*]CNCC(C)C,1,86.097
575,[8*]C[C@H](C)NCC,1,86.097
576,[1*]C(=O)CC(=O)O,1,87.008
577,[3*]OC(=O)C(C)=O,1,87.008
578,[5*][N-]C(=O)OCC,1,87.033
579,[1*]C(=O)C(C)(C)O,1,87.045
580,[1*]C(=O)CC(C)O,1,87.045
581,[1*]C(=O)CCOC,1,87.045
582,[1*]C(=O)OC(C)C,1,87.045
583,[13*][C@@H]1COCCO1,1,87.045
584,[3*]OC(=O)C(C)C,1,87.045
585,[3*]OC(=O)CCC,1,87.045
586,[3*]O[C@@H]1CCOC1,1,87.045
587,[3*]O[C@H]1CCOC1,1,87.045
588,[4*]C(C)(C)C(=O)O,1,87.045
589,[4*]C(CC)C(=O)O,1,87.045
590,[4*]CC(=O)OCC,1,87.045
591,[4*]CC(C)C(=O)O,1,87.045
592,[4*]CCC(=O)OC,1,87.045
593,[4*]CCCC(=O)O,1,87.045
594,[4*]CCOC(C)=O,1,87.045
595,[4*][C@@H](CC)C(=O)O,1,87.045
596,[4*][C@H](CC)C(=O)O,1,87.045
597,[6*]C(=O)OC(C)C,1,87.045
598,[6*]C(=O)OCCC,1,87.045
599,[7*]C(C)C(=O)OC,1,87.045
600,[7*]CCCC(=O)O,1,87.045
601,[8*]C(C)(C)C(=O)O,1,87.045
