NO,SMILES,Flatten SMILES,IC50 (nM),pIC50,target (10 nM),trtecv (10 nM),target (31.6 nM),trtecv (31.6 nM),target (100 nM),trtecv (100 nM)
161,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc3cccnc3c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc3cccnc3c2)n1,833,6.079,0,train4,0,test,0,train4
162,Cc1cc(C(F)(F)F)cc(N2C(=O)NC[C@H]2C(=O)N(c2ccc(F)c(Cl)c2)C(C)C)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NCC2C(=O)N(c2ccc(F)c(Cl)c2)C(C)C)n1,15,7.824,0,train1,1,train4,1,train5
163,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCS(C)(=O)=O)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCS(C)(=O)=O)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,9,8.046,1,test,1,train5,1,train2
164,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCS(=O)(=O)N(C)C)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCS(=O)(=O)N(C)C)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,45,7.347,0,test,0,train2,1,train4
165,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN(C)C)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN(C)C)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,61,7.215,0,train3,0,train3,1,train2
166,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCCN(C)C)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCCN(C)C)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,24,7.62,0,train5,1,train5,1,test
167,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(N)=O)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(N)=O)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,13,7.886,0,train5,1,train2,1,train3
168,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(=O)N(C)C)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(=O)N(C)C)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,10,8,0,test,1,train2,1,test
169,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3(CO)COC3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3(CO)COC3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,9,8.046,1,train5,1,train2,1,train2
170,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCNS(C)(=O)=O)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCNS(C)(=O)=O)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,22,7.658,0,train4,1,train4,1,train4
171,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3CNC3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3CNC3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,18,7.745,0,train1,1,train3,1,train4
172,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3CN(C)C3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3CN(C)C3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,32,7.495,0,train1,0,train4,1,train4
173,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCC(=O)N(C)C)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCC(=O)N(C)C)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,13,7.886,0,train3,1,train3,1,train2
174,CNC(=O)CCN1C[C@@H](C(=O)N(C)c2ccc(F)c(Cl)c2)N(c2cc(C(F)(F)F)cc(C)n2)C1=O,CNC(=O)CCN1CC(C(=O)N(C)c2ccc(F)c(Cl)c2)N(c2cc(C(F)(F)F)cc(C)n2)C1=O,12,7.921,0,train2,1,test,1,test
175,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCNCC3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCNCC3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,9,8.046,1,test,1,train1,1,train5
176,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCO)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCO)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,6,8.222,1,train5,1,train4,1,train4
177,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCOCC3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCOCC3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,7,8.155,1,train5,1,test,1,train4
178,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCOCC3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCOCC3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,4,8.398,1,train2,1,train2,1,test
179,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CC[C@@H](O)C3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCC(O)C3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,19,7.721,0,test,1,test,1,train2
180,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCC[C@H]3CO)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCCC3CO)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,28,7.553,0,train3,1,train1,1,test
181,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCC3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCC3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,12,7.921,0,train4,1,train5,1,train1
182,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCC3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCC3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,26,7.585,0,train4,1,test,1,train4
183,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CC(O)C3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CC(O)C3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,7,8.155,1,train1,1,train3,1,train4
184,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCC3CO)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCC3CO)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,10,8,0,train5,1,train4,1,train5
185,CC(=O)N1CCN(CCN2C[C@@H](C(=O)N(C)c3ccc(F)c(Cl)c3F)N(c3cc(C(F)(F)F)cc(C)n3)C2=O)CC1,CC(=O)N1CCN(CCN2CC(C(=O)N(C)c3ccc(F)c(Cl)c3F)N(c3cc(C(F)(F)F)cc(C)n3)C2=O)CC1,3,8.523,1,train2,1,train1,1,train2
186,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CC[C@H](F)C3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCC(F)C3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,6,8.222,1,train3,1,train3,1,train2
187,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCC(F)(F)C3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCC(F)(F)C3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,15,7.824,0,test,1,train5,1,train3
188,CC(=O)N(C)C1CCN(CCN2C[C@@H](C(=O)N(C)c3ccc(F)c(Cl)c3F)N(c3cc(C(F)(F)F)cc(C)n3)C2=O)C1,CC(=O)N(C)C1CCN(CCN2CC(C(=O)N(C)c3ccc(F)c(Cl)c3F)N(c3cc(C(F)(F)F)cc(C)n3)C2=O)C1,7,8.155,1,train4,1,train2,1,test
189,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCS(=O)(=O)CC3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCS(=O)(=O)CC3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,9,8.046,1,train4,1,train4,1,test
190,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCN(CCO)CC3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCN(CCO)CC3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,8,8.097,1,test,1,train3,1,train3
191,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCN(C)C(=O)C3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCN(C)C(=O)C3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,7,8.155,1,train1,1,train2,1,train2
192,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCC(C#N)CC3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN3CCC(C#N)CC3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,5,8.301,1,train5,1,train3,1,train2
193,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCS(C)(=N)=O)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCS(C)(=N)=O)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,6,8.222,1,train3,1,test,1,train1
194,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCS(C)(=N)=O)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCS(C)(=N)=O)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,26,7.585,0,train3,1,train4,1,train2
195,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(O)CN(C)C)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(O)CN(C)C)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,11,7.959,0,train3,1,train2,1,train3
196,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(O)CN3CC[C@H](F)C3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(O)CN3CCC(F)C3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,8,8.097,1,train4,1,train1,1,test
197,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(O)CN3CCC(F)(F)C3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(O)CN3CCC(F)(F)C3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,4,8.398,1,train1,1,train2,1,train4
198,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(O)CN3CCOCC3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(O)CN3CCOCC3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,7,8.155,1,train3,1,test,1,train4
199,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3CNCCO3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3CNCCO3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,16,7.796,0,train5,1,train2,1,test
200,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3CN(C)CCO3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3CN(C)CCO3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,11,7.959,0,train5,1,train2,1,train3
201,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCCN3CCNCC3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCCN3CCNCC3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,11,7.959,0,train3,1,test,1,train3
202,CC(=O)N1CCN(CCCN2C[C@@H](C(=O)N(C)c3ccc(F)c(Cl)c3F)N(c3cc(C(F)(F)F)cc(C)n3)C2=O)CC1,CC(=O)N1CCN(CCCN2CC(C(=O)N(C)c3ccc(F)c(Cl)c3F)N(c3cc(C(F)(F)F)cc(C)n3)C2=O)CC1,11,7.959,0,train1,1,train5,1,train5
203,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3(O)CCNC3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3(O)CCNC3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,9,8.046,1,train2,1,train1,1,train5
204,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3(O)CCN(C)C3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3(O)CCN(C)C3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,8,8.097,1,train4,1,train1,1,train3
205,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3(O)CNC3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3(O)CNC3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,6,8.222,1,train1,1,test,1,train1
206,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3(O)CNC3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3(O)CNC3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,17,7.77,0,train2,1,train3,1,train5
207,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(O)CO)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(O)CO)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,19,7.721,0,train5,1,train3,1,train4
208,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCOS(N)(=O)=O)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCOS(N)(=O)=O)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,6,8.222,1,train3,1,train3,1,test
209,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN=S(C)(C)=O)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCN=S(C)(C)=O)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,62,7.208,0,train4,0,train1,1,train1
210,Cc1cc(C(F)(F)F)cc(N2C(=O)N(C[C@H]3CN(C)C(=O)O3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC3CN(C)C(=O)O3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,15,7.824,0,train1,1,train4,1,train2
211,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(O)CO)C[C@H]2C(=O)N(c2ccc(F)c(Cl)c2)C2CC2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(O)CO)CC2C(=O)N(c2ccc(F)c(Cl)c2)C2CC2)n1,94,7.027,0,test,0,train4,1,train5
212,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCC(O)CO)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCC(O)CO)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,15,7.824,0,train2,1,test,1,train1
213,Cc1cc(C(F)(F)F)cc(N2C(=O)NC[C@H]2C(=O)N(C)c2ccc3cc[nH]c3c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NCC2C(=O)N(C)c2ccc3cc[nH]c3c2)n1,3,8.523,1,train1,1,train2,1,train1
214,Cc1cc(C(F)(F)F)cc(N2C(=O)NC[C@H]2C(=O)N(C)c2ccc3ccn(C)c3c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NCC2C(=O)N(C)c2ccc3ccn(C)c3c2)n1,5,8.301,1,test,1,test,1,train3
215,Cc1cc(C(F)(F)F)cc(N2C(=O)NC[C@H]2C(=O)N(C)c2ccc3cnn(C)c3c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NCC2C(=O)N(C)c2ccc3cnn(C)c3c2)n1,27,7.569,0,train4,1,train1,1,train5
216,Cc1cc(C(F)(F)F)cc(N2C(=O)NC[C@H]2C(=O)N(C)c2ccc3occ(C)c3n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NCC2C(=O)N(C)c2ccc3occ(C)c3n2)n1,14,7.854,0,train1,1,train4,1,train5
217,Cc1cc(C(F)(F)F)cc(N2C(=O)NC[C@H]2C(=O)N(C)c2ccc3sccc3n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NCC2C(=O)N(C)c2ccc3sccc3n2)n1,37,7.432,0,test,0,train5,1,test
218,Cc1cc(C(F)(F)F)cc(N2C(=O)NC[C@H]2C(=O)N(C)c2ccc3c(C)n[nH]c3c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NCC2C(=O)N(C)c2ccc3c(C)n[nH]c3c2)n1,28,7.553,0,train5,1,train1,1,train5
219,Cc1cc(C(F)(F)F)cc(N2C(=O)NC[C@H]2C(=O)N(C)c2ccc3c(F)c[nH]c3n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NCC2C(=O)N(C)c2ccc3c(F)c[nH]c3n2)n1,6,8.222,1,train5,1,train2,1,train2
220,Cc1cc(C(F)(F)F)cc(N2C(=O)NC[C@H]2C(=O)N(C)c2ccc3c(Cl)c[nH]c3n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NCC2C(=O)N(C)c2ccc3c(Cl)c[nH]c3n2)n1,7,8.155,1,train4,1,train1,1,train2
221,Cc1cc(C(F)(F)F)c(C#N)c(N2[C@H](C(=O)N(C)c3ccc(F)c(Cl)c3)CC[C@H]2C)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2C(C)CCC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,240,6.62,0,train1,0,train5,0,train2
222,Cc1cc(C(F)(F)F)c(C#N)c(N2CCC[C@H]2C(=O)N(C)c2ccc3ccn(C)c3n2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CCCC2C(=O)N(C)c2ccc3ccn(C)c3n2)n1,39,7.409,0,test,0,train3,1,train4
223,Cc1cc(C(F)(F)F)c(C#N)c(N2CCC[C@H]2C(=O)N(C)c2cc(Cl)c3ccn(C)c3n2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CCCC2C(=O)N(C)c2cc(Cl)c3ccn(C)c3n2)n1,130,6.886,0,train4,0,train2,0,test
224,Cc1cc(C(F)(F)F)c(C#N)c(N2CCC[C@H]2C(=O)N(C)c2ccc3c(n2)N(C)CCO3)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CCCC2C(=O)N(C)c2ccc3c(n2)N(C)CCO3)n1,74,7.131,0,train1,0,train5,1,train2
225,CCN(C(=O)COc1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)COc1nc(C)cc(C)c1C#N)c1cccc(C)c1,4400,5.357,0,train4,0,test,0,train5
226,CCN(C(=O)COc1nc(C)cc(C(F)(F)F)c1C#N)c1cccc(C)c1,CCN(C(=O)COc1nc(C)cc(C(F)(F)F)c1C#N)c1cccc(C)c1,500,6.301,0,train5,0,train2,0,train5
227,CCN(C(=O)COc1nc(C)c(Cl)c(C)c1C#N)c1cccc(C)c1,CCN(C(=O)COc1nc(C)c(Cl)c(C)c1C#N)c1cccc(C)c1,630,6.201,0,test,0,test,0,train1
228,CCN(C(=O)COc1nc(C)c(Br)c(C)c1C#N)c1cccc(C)c1,CCN(C(=O)COc1nc(C)c(Br)c(C)c1C#N)c1cccc(C)c1,1500,5.824,0,train4,0,train5,0,train3
229,CCN(C(=O)COc1nc(C)c(Br)c(C(F)(F)F)c1C#N)c1cccc(C)c1,CCN(C(=O)COc1nc(C)c(Br)c(C(F)(F)F)c1C#N)c1cccc(C)c1,400,6.398,0,train2,0,train3,0,train1
230,CCN(C(=O)COc1cc(C)cc(C)n1)c1cccc(C)c1,CCN(C(=O)COc1cc(C)cc(C)n1)c1cccc(C)c1,4200,5.377,0,test,0,train5,0,train4
231,CCN(C(=O)COc1cc(C(F)(F)F)cc(C)n1)c1cccc(C)c1,CCN(C(=O)COc1cc(C(F)(F)F)cc(C)n1)c1cccc(C)c1,530,6.276,0,train4,0,train4,0,train4
232,CCN(C(=O)COc1cc(C(C)C)cc(C)n1)c1cccc(C)c1,CCN(C(=O)COc1cc(C(C)C)cc(C)n1)c1cccc(C)c1,400,6.398,0,train4,0,train5,0,train3
233,CCN(C(=O)CNc1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)CNc1nc(C)cc(C)c1C#N)c1cccc(C)c1,1800,5.745,0,train3,0,train4,0,train4
234,CCN(C(=O)[C@H](C)Nc1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)C(C)Nc1nc(C)cc(C)c1C#N)c1cccc(C)c1,230,6.638,0,train5,0,train2,0,train4
235,CCN(C(=O)[C@@H](C)Nc1nc(C)cc(C(C)C)c1C#N)c1cccc(C)c1,CCN(C(=O)C(C)Nc1nc(C)cc(C(C)C)c1C#N)c1cccc(C)c1,49,7.31,0,train2,0,train3,1,train5
236,CCN(C(=O)[C@H](C)Nc1nc(C)cc(C(F)(F)F)c1C#N)c1cccc(C)c1,CCN(C(=O)C(C)Nc1nc(C)cc(C(F)(F)F)c1C#N)c1cccc(C)c1,29,7.538,0,train3,1,train5,1,train2
237,CCN(C(=O)[C@@H]1CCCN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)C1CCCN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,72,7.143,0,train2,0,test,1,test
238,CCN(C(=O)[C@@H]1COCCN1c1nc(C)cc(C(F)(F)F)c1C#N)c1cccc(C)c1,CCN(C(=O)C1COCCN1c1nc(C)cc(C(F)(F)F)c1C#N)c1cccc(C)c1,2700,5.569,0,train2,0,train4,0,test
239,CCN(C(=O)[C@H](CO)Nc1nc(C)cc(C(F)(F)F)c1C#N)c1cccc(C)c1,CCN(C(=O)C(CO)Nc1nc(C)cc(C(F)(F)F)c1C#N)c1cccc(C)c1,79,7.102,0,train5,0,train2,1,train2
240,Cc1cccc(-n2cnnc2[C@@H]2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,Cc1cccc(-n2cnnc2C2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,64,7.194,0,test,0,train4,1,train3
241,Cc1cccc(-n2c(C)nnc2[C@@H]2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,Cc1cccc(-n2c(C)nnc2C2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,116,6.936,0,train2,0,train5,0,train3
242,Cc1cccc(-n2cnnc2[C@@H]2C[C@H](O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,Cc1cccc(-n2cnnc2C2CC(O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,125,6.903,0,train4,0,train3,0,train4
243,Cc1cccc(-n2cnnc2[C@@H]2C[C@H](O)CN2c2nc(C)cc(C)c2C#N)c1,Cc1cccc(-n2cnnc2C2CC(O)CN2c2nc(C)cc(C)c2C#N)c1,480,6.319,0,train5,0,train3,0,test
244,CCc1c(C)cnc(N2C[C@@H](O)C[C@H]2c2nncn2-c2cccc(C)c2)c1C#N,CCc1c(C)cnc(N2CC(O)CC2c2nncn2-c2cccc(C)c2)c1C#N,2634,5.579,0,train1,0,train2,0,train1
245,Cc1cccc(-n2cnnc2[C@@H]2C[C@H](O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)n1,Cc1cccc(-n2cnnc2C2CC(O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)n1,2995,5.524,0,train5,0,train5,0,train2
246,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2c2nncn2-c2cccc(F)c2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2c2nncn2-c2cccc(F)c2)n1,1056,5.976,0,train5,0,train3,0,test
247,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2c2nncn2-c2ccc(F)c(F)c2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2c2nncn2-c2ccc(F)c(F)c2)n1,1511,5.821,0,test,0,train3,0,train5
248,Cc1ccc(-n2ccnc2[C@@H]2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)cc1,Cc1ccc(-n2ccnc2C2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)cc1,9,8.046,1,train3,1,train1,1,train1
249,Cc1cc(C(F)(F)F)c(C#N)c(N2CCC[C@H]2c2nccn2-c2ccccn2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CCCC2c2nccn2-c2ccccn2)n1,481,6.318,0,train3,0,train5,0,train3
