NO,SMILES,Flatten SMILES,IC50 (nM),pIC50,target (10 nM),trtecv (10 nM),target (31.6 nM),trtecv (31.6 nM),target (100 nM),trtecv (100 nM)
132,CCN(C(=O)[C@@H]1C[C@H](N(C)[C@@H]2CN(C(=O)OC(C)(C)C)C[C@H]2O)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,CCN(C(=O)C1CC(N(C)C2CN(C(=O)OC(C)(C)C)CC2O)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,409,6.388,0,train1,0,train2,0,train2
133,CCN(C(=O)[C@@H]1C[C@H](N(C)C2CNC(=O)C2)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,CCN(C(=O)C1CC(N(C)C2CNC(=O)C2)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,708,6.15,0,test,0,train4,0,train5
134,CCN(C(=O)[C@@H]1C[C@H](N(C)C2COC2)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,CCN(C(=O)C1CC(N(C)C2COC2)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,163,6.788,0,train1,0,train1,0,train5
135,CCN(C(=O)[C@@H]1C[C@H](N2CCOC(CO)C2)CN1c1nc(C)cc(C(F)(F)F)c1C#N)c1cccc(Cl)c1,CCN(C(=O)C1CC(N2CCOC(CO)C2)CN1c1nc(C)cc(C(F)(F)F)c1C#N)c1cccc(Cl)c1,28,7.553,0,test,1,train5,1,test
136,CCN(C(=O)[C@@H]1C[C@H](N2CCOC(CO)C2)CN1c1nc(C)cc(C(F)(F)F)c1C#N)c1ccc(Cl)c(Cl)c1,CCN(C(=O)C1CC(N2CCOC(CO)C2)CN1c1nc(C)cc(C(F)(F)F)c1C#N)c1ccc(Cl)c(Cl)c1,6,8.222,1,test,1,test,1,train4
137,CCN(C(=O)[C@@H]1C[C@H](N2CCOC(CO)C2)CN1c1nc(C)cc(C(F)(F)F)c1C#N)c1ccc(C)c(Cl)c1,CCN(C(=O)C1CC(N2CCOC(CO)C2)CN1c1nc(C)cc(C(F)(F)F)c1C#N)c1ccc(C)c(Cl)c1,5,8.301,1,train1,1,train4,1,train4
138,CCN(C(=O)[C@@H]1C[C@H](N2CCOC(CO)C2)CN1c1nc(C)cc(C(F)(F)F)c1C#N)c1ccc(F)c(C)c1,CCN(C(=O)C1CC(N2CCOC(CO)C2)CN1c1nc(C)cc(C(F)(F)F)c1C#N)c1ccc(F)c(C)c1,11,7.959,0,train1,1,train2,1,test
139,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](N3CCOC(CO)C3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(N3CCOC(CO)C3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,23,7.638,0,train1,1,train4,1,train2
140,CCN(C(=O)[C@@H]1C[C@H](N2CCOC[C@@H]2CO)CN1c1nc(C)cc(C(F)(F)F)c1C#N)c1ccc(F)c(Cl)c1,CCN(C(=O)C1CC(N2CCOCC2CO)CN1c1nc(C)cc(C(F)(F)F)c1C#N)c1ccc(F)c(Cl)c1,26,7.585,0,train2,1,train5,1,train2
141,CCN(C(=O)[C@@H]1C[C@H](N2CCO[C@H](CO)C2)CN1c1nc(C)cc(C(F)(F)F)c1C#N)c1ccc(F)c(Cl)c1,CCN(C(=O)C1CC(N2CCOC(CO)C2)CN1c1nc(C)cc(C(F)(F)F)c1C#N)c1ccc(F)c(Cl)c1,15,7.824,0,train3,1,test,1,train5
142,Cc1cc(C(F)(F)F)cc(N2C(=O)NC[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NCC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,4,8.398,1,train1,1,train5,1,train1
143,CCN(C(=O)[C@@H]1CNC(=O)N1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(Cl)c1,CCN(C(=O)C1CNC(=O)N1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(Cl)c1,32,7.495,0,train1,0,train2,1,train2
144,Cc1cc(C(F)(F)F)cc(N2C(=O)NC[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NCC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,2,8.699,1,train1,1,train3,1,train4
145,Cc1cc(C(F)(F)F)cc(N2C(=O)N(S(C)(=O)=O)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(S(C)(=O)=O)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,178,6.75,0,train3,0,train3,0,train4
146,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(C)O)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(C)O)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,6,8.222,1,test,1,train1,1,train1
147,Cc1cc(C(F)(F)F)cc(N2C(=O)NC[C@H]2C(=O)N(c2ccc(F)c(Cl)c2F)C2CC2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NCC2C(=O)N(c2ccc(F)c(Cl)c2F)C2CC2)n1,12,7.921,0,train5,1,train4,1,train1
148,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@@H](O)[C@@H](O)[C@H]2C(=O)N(C)c2ccc(Cl)cc2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(O)C(O)C2C(=O)N(C)c2ccc(Cl)cc2F)n1,20,7.699,0,train3,1,train3,1,train4
149,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@@H](O)[C@@H](O)[C@H]2C(=O)N(C)c2ccc3cc[nH]c3n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(O)C(O)C2C(=O)N(C)c2ccc3cc[nH]c3n2)n1,7,8.155,1,test,1,train5,1,train3
150,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@@H](O)[C@@H](O)[C@H]2C(=O)N(C)c2ccc3ccn(C)c3n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(O)C(O)C2C(=O)N(C)c2ccc3ccn(C)c3n2)n1,56,7.252,0,train2,0,train5,1,train3
151,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@@H](O)[C@@H](O)[C@H]2C(=O)N(C)c2ccc3cnn(C)c3n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(O)C(O)C2C(=O)N(C)c2ccc3cnn(C)c3n2)n1,71,7.149,0,test,0,test,1,train2
152,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@@H](O)[C@@H](O)[C@H]2C(=O)N(C)c2ccc3c(n2)N(C)CCO3)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(O)C(O)C2C(=O)N(C)c2ccc3c(n2)N(C)CCO3)n1,106,6.975,0,train3,0,train5,0,train3
153,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@@H](O)[C@@H](O)[C@H]2C(=O)N(C)c2ccc(F)c(C)n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(O)C(O)C2C(=O)N(C)c2ccc(F)c(C)n2)n1,193,6.714,0,train4,0,train1,0,train2
154,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(Cl)cc2Cl)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(Cl)cc2Cl)n1,68,7.167,0,train2,0,train1,1,train3
155,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(Br)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(Br)c(Cl)c2)n1,20,7.699,0,train3,1,train2,1,train4
156,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(C3CC3)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(C3CC3)c(Cl)c2)n1,13,7.886,0,train2,1,train5,1,test
157,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc3cn[nH]c3c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc3cn[nH]c3c2)n1,158,6.801,0,train3,0,train4,0,train5
158,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2cccc(N)n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2cccc(N)n2)n1,519,6.285,0,test,0,test,0,test
159,CNc1cccc(N(C)C(=O)[C@@H]2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)n1,CNc1cccc(N(C)C(=O)C2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)n1,94,7.027,0,train5,0,train1,1,train5
160,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2cccc(N(C)C)n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2cccc(N(C)C)n2)n1,109,6.963,0,train3,0,train1,0,train3
